model,BMA_weight,Train_R2,Train_MAE,Train_MSE,Test_R2,Test_MAE,Test_MSE
Linear Regression,0.0724,0.0204,0.0337,0.0022,0.0141,0.0307,0.002
Lasso Regression,0.0712,0.0058,0.0339,0.0022,0.0059,0.0304,0.002
Ridge Regression,0.0723,0.0205,0.0337,0.0022,0.0138,0.0307,0.002
Elastic Net,0.0725,0.0196,0.0337,0.0022,0.0147,0.0306,0.002
PCR,0.0724,0.0204,0.0337,0.0022,0.0141,0.0307,0.002
PLS,0.0716,0.0152,0.0338,0.0022,0.0104,0.0307,0.002
Random Forest,0.0747,0.0389,0.0333,0.0021,0.0292,0.0301,0.002
XGBoost,0.1024,0.2695,0.0286,0.0016,0.2165,0.027,0.0016
CatBoost,0.1235,0.4009,0.0255,0.0013,0.3176,0.025,0.0014
Feedforward NN,0.1087,0.2985,0.0278,0.0016,0.0923,0.0309,0.0019
LSTM,0.1583,0.5929,0.0218,0.0009,0.1529,0.0289,0.0017
BMA Ensemble,1.0,0.1711,0.0309,0.0018,0.123,0.0289,0.0018
